name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
clint-baumstark;CLB;0;0;0;0;0;0;0;0;0;0;0;0
clint-baumstark;NE;0;0;0;0;0;0;0;0;0;4;5;6
peter-billmeyer;DAL;0;0;0;0;0;0;0;0;0;1;0;1
adin-brown;NE;7;7;585;1;11;39;0;0;0;3;6;2
jon-busch;CLB;29;29;2610;10;31;132;0;0;0;12;5;13
joe-cannon;COL;30;30;2700;10;32;150;0;0;0;10;9;11
jeff-cassar;DAL;19;19;1632;4;27;65;0;0;0;9;14;6
jon-conway;SJ;5;5;450;2;3;15;0;0;0;9;10;11
d-j-countess;CHI;2;2;180;0;4;4;0;0;0;8;11;9
steve-cronin;SJ;0;0;0;0;0;0;0;0;0;4;3;7
scott-garlick;DAL;12;11;1068;4;18;52;0;0;0;8;12;3
kevin-hartman;LA;30;30;2655;7;39;117;0;0;0;11;9;10
william-hesmer;SKC;0;0;0;0;0;0;0;0;0;8;3;5
matt-jordan;CLB;1;1;90;0;1;5;0;0;0;8;1;7
tony-meola;SKC;21;21;1890;7;22;76;0;0;0;10;7;5
pat-onstad;SJ;25;25;2250;6;32;98;0;0;0;7;8;10
bo-oshoniyi;SKC;9;9;810;5;8;42;0;0;0;14;9;7
troy-perkins;DC;16;16;1440;3;26;52;0;0;0;10;9;7
matt-pickens;CHI;0;0;0;0;0;0;0;0;0;2;1;0
dan-popik;LA;1;0;45;0;1;2;0;0;0;11;9;10
matt-reis;NE;24;23;2115;3;32;97;0;0;0;8;13;9
nick-rimando;DC;13;13;1170;4;13;26;0;0;0;10;9;8
henry-ring;CHI;28;28;2520;7;40;128;0;0;0;8;13;9
kyle-singer;NE;0;0;0;0;0;0;0;0;0;0;1;1
andrew-terris;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
andrew-terris;NE;0;0;0;0;0;0;0;0;0;0;0;0
andrew-terris;DC;0;0;0;0;0;0;0;0;0;0;0;0
andrew-terris;DAL;0;0;0;0;0;0;0;0;0;4;4;3
zach-thornton;CHI;0;0;0;0;0;0;0;0;0;0;1;0
scott-vallow;COL;0;0;0;0;0;0;0;0;0;10;9;11
jonny-walker;RBNY;28;28;2520;5;45;99;0;0;0;10;11;7
doug-warren;NE;0;0;0;0;0;0;0;0;0;0;0;0
doug-warren;DC;1;1;90;0;3;6;0;0;0;6;9;10
zach-wells;RBNY;2;2;180;0;4;4;0;0;0;11;12;7
byron-foss;COL;0;0;0;0;0;0;0;0;0;0;0;0
